Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
7;1;1;5;0
0;0;0;0;0
0;0;0;0;0
4;0;0;4;0
1;0;1;0;0
9;0;0;9;0
6;0;2;4;0
18;1;2;15;0
77;1;13;62;1
153;12;21;118;2
207;9;35;157;6
276;19;44;206;7
424;36;69;312;7
415;125;15;249;26
441;99;10;330;2
358;29;44;284;1
168;10;11;147;0
44;1;4;39;0
