Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
2;0;1;1;0
2;0;1;1;0
3;0;2;1;0
3;0;0;3;0
12;0;3;9;0
23;0;5;18;0
83;0;13;70;0
166;4;22;140;0
148;3;28;115;2
234;6;59;167;2
393;24;44;310;15
430;71;43;300;16
398;146;17;197;38
418;128;15;264;11
418;106;11;294;7
442;75;22;344;1
425;72;22;327;4
194;24;13;156;1
