Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
0;0;0;0;0
2;1;0;1;0
0;0;0;0;0
1;0;0;1;0
3;0;0;3;0
7;0;0;7;0
7;0;2;5;0
19;0;2;17;0
83;2;8;73;0
122;2;18;96;6
200;8;26;161;5
287;6;35;243;3
418;6;63;347;2
613;82;83;438;10
566;100;69;386;11
634;89;119;422;4
671;109;111;446;5
625;121;98;398;8
219;33;30;156;0
92;16;9;66;1
