Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
1;0;1;0;0
3;0;0;3;0
4;0;0;4;0
3;1;1;1;0
8;2;0;6;0
38;2;5;31;0
74;6;5;61;2
154;6;25;105;18
208;8;40;144;16
349;19;58;258;14
359;27;54;274;4
393;77;33;260;23
408;98;22;281;7
399;82;21;294;2
388;86;38;258;6
343;42;45;256;0
83;5;11;67;0
