Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
1;0;0;1;0
2;0;0;2;0
2;0;0;2;0
10;0;1;9;0
4;0;0;4;0
9;0;1;8;0
19;0;2;17;0
56;1;4;51;0
172;13;33;120;6
350;11;81;243;15
406;20;80;296;10
448;16;113;313;6
418;120;55;218;25
449;118;50;275;6
442;116;78;245;3
439;133;58;241;7
141;31;19;91;0
