Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
2;0;0;2;0
1;0;0;1;0
1;0;0;1;0
8;0;4;4;0
5;0;1;4;0
4;0;0;4;0
6;0;1;5;0
8;1;1;6;0
54;3;8;38;5
200;11;37;141;11
265;9;49;200;7
261;5;31;222;3
493;60;74;348;11
582;138;53;369;22
508;48;90;370;0
582;148;76;343;15
390;60;86;241;3
431;38;97;294;2
424;59;105;257;3
203;20;43;140;0
108;17;16;74;1
73;7;6;60;0
60;6;11;43;0
