Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
1;0;0;1;0
0;0;0;0;0
1;1;0;0;0
0;0;0;0;0
2;0;0;2;0
7;0;0;7;0
6;0;1;5;0
19;0;7;12;0
58;0;7;51;0
86;3;19;62;2
153;3;30;112;8
371;18;61;278;14
574;82;53;419;20
601;109;45;439;8
586;118;38;424;6
612;111;65;432;4
479;66;100;310;3
433;73;95;261;4
511;110;81;318;2
289;44;54;189;2
