Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
4;0;1;3;0
6;0;0;6;0
5;0;0;5;0
8;0;1;7;0
16;0;3;13;0
27;0;2;25;0
51;0;8;42;1
216;9;42;159;6
305;12;68;209;16
380;9;79;279;13
451;63;55;323;10
487;144;26;284;33
463;72;46;339;6
27;3;6;18;0
