Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
6;0;0;6;0
5;0;3;2;0
10;0;0;10;0
10;0;0;10;0
18;0;1;17;0
61;1;5;55;0
92;3;10;79;0
178;3;25;149;1
300;1;64;231;4
329;6;52;266;5
479;20;95;357;7
419;119;24;228;48
449;77;48;317;7
416;106;55;250;5
259;23;37;199;0
15;0;4;11;0
