Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
0;0;0;0;0
0;0;0;0;0
3;1;1;1;0
9;0;3;6;0
12;0;1;11;0
10;1;0;9;0
23;2;3;18;0
29;1;5;22;1
125;4;19;98;4
201;4;43;150;4
254;6;58;185;5
305;48;65;177;15
303;61;68;160;14
291;79;32;176;4
237;34;55;144;4
92;9;14;69;0
