Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
2;0;1;1;0
1;0;0;1;0
3;0;3;0;0
6;0;0;6;0
1;0;0;1;0
8;1;0;7;0
34;2;3;28;1
54;14;5;28;7
62;5;7;35;15
140;5;22;90;23
143;6;21;100;16
261;10;43;189;19
428;22;80;310;16
611;50;110;440;11
660;96;101;448;15
641;118;51;453;19
645;93;57;491;4
658;112;111;431;4
667;45;163;459;0
685;51;137;496;1
679;53;155;470;1
654;66;135;450;3
222;17;37;168;0
