Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
2;1;0;1;0
4;0;0;4;0
18;0;5;13;0
44;2;2;39;1
38;2;3;33;0
59;2;6;51;0
98;4;13;80;1
184;7;29;146;2
238;8;39;183;8
276;17;50;201;8
258;20;38;178;22
241;29;15;186;11
264;23;43;194;4
248;9;43;196;0
83;3;13;67;0
