Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
2;0;0;2;0
3;0;0;3;0
5;0;0;5;0
11;0;0;11;0
6;0;2;4;0
17;1;1;15;0
26;2;5;19;0
105;6;15;65;19
118;2;20;81;15
158;8;27;110;13
207;6;42;146;13
363;17;42;292;12
441;39;24;364;14
414;115;22;251;26
433;60;24;344;5
433;86;31;308;8
429;52;30;345;2
417;81;20;315;1
416;75;20;317;4
110;22;11;75;2
