Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
0;0;0;0;0
0;0;0;0;0
1;0;0;1;0
3;0;1;2;0
2;0;0;2;0
3;0;0;3;0
5;0;1;4;0
14;0;1;12;1
87;3;11;67;6
130;5;15;94;16
146;6;12;99;29
136;4;19;101;12
278;12;38;214;14
667;22;125;506;14
685;33;121;525;6
646;114;24;501;7
650;111;82;455;2
673;98;114;461;0
688;64;116;507;1
676;115;96;465;0
658;148;62;445;3
287;45;38;203;1
49;3;4;42;0
