Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
1;1;0;0;0
1;0;1;0;0
4;0;0;4;0
26;0;2;24;0
31;2;3;26;0
62;2;1;59;0
111;4;16;88;3
148;5;23;116;4
226;21;33;165;7
275;20;39;214;2
214;74;10;100;30
224;49;23;135;17
235;47;31;143;14
152;15;30;107;0
