Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
1;0;0;1;0
8;0;1;7;0
11;0;1;10;0
38;3;1;34;0
60;2;9;48;1
107;4;13;85;5
168;6;34;119;9
202;15;43;136;8
269;21;62;178;8
224;112;12;63;37
244;72;30;125;17
239;55;51;132;1
185;29;40;115;1
135;19;28;87;1
72;10;12;49;1
