Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
1;0;0;1;0
3;0;0;3;0
6;0;0;6;0
9;1;0;8;0
11;0;1;10;0
23;1;1;21;0
75;2;7;66;0
206;6;36;163;1
289;10;52;221;6
408;16;96;283;13
431;9;105;314;3
431;75;66;270;20
447;84;32;326;5
440;81;34;318;7
373;70;46;251;6
