Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
6;0;2;4;0
15;0;1;14;0
15;2;2;11;0
1;0;0;1;0
6;0;1;5;0
1;0;0;1;0
9;0;3;6;0
14;0;2;12;0
17;2;1;14;0
52;3;6;41;2
141;2;31;98;10
121;4;23;88;6
234;5;51;162;16
462;40;88;318;16
588;108;96;361;23
605;106;62;417;20
435;61;93;271;10
480;80;82;311;7
569;106;76;379;8
534;62;96;368;8
413;52;82;274;5
442;46;96;291;9
378;82;73;223;0
