Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
2;0;0;2;0
2;0;0;2;0
2;1;0;1;0
0;0;0;0;0
2;0;0;2;0
3;0;1;2;0
3;0;0;3;0
5;0;0;4;1
11;0;0;11;0
41;2;7;28;4
87;0;17;56;14
130;2;21;101;6
380;25;77;273;5
622;67;163;346;46
675;80;195;361;39
585;112;106;352;15
550;50;119;373;8
649;128;113;397;11
601;86;94;410;11
613;73;108;431;1
405;72;82;242;9
323;61;48;210;4
108;28;6;73;1
