Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
0;0;0;0;0
0;0;0;0;0
1;0;0;1;0
0;0;0;0;0
1;0;0;1;0
1;0;1;0;0
7;1;0;6;0
9;1;0;7;1
36;0;5;24;7
84;5;10;51;18
123;4;21;77;21
150;5;28;106;11
231;6;41;179;5
303;15;51;228;9
288;36;22;217;13
272;62;3;204;3
287;67;10;208;2
303;48;18;235;2
276;80;11;185;0
331;44;41;245;1
300;54;29;216;1
332;32;58;240;2
103;7;21;75;0
