Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;1;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
1;0;0;1;0
4;0;0;4;0
3;1;0;2;0
29;0;2;27;0
36;0;2;34;0
32;0;3;29;0
40;1;7;32;0
55;2;12;41;0
161;8;31;117;5
232;6;57;160;9
311;17;72;216;6
237;101;9;113;14
302;52;41;207;2
310;68;32;210;0
337;40;57;238;2
318;56;44;217;1
135;27;30;78;0
