Total signals;High A, short T;Low A, long T;Low A, short T;High A, long T
1;0;0;1;0
0;0;0;0;0
3;0;0;2;1
1;0;0;1;0
1;0;0;1;0
41;5;2;34;0
21;1;1;19;0
29;1;0;28;0
81;4;12;63;2
156;5;27;108;16
247;12;47;172;16
274;18;29;215;12
281;28;33;216;4
253;52;22;173;6
249;37;12;193;7
251;52;23;168;8
197;15;30;151;1
157;10;23;123;1
111;6;17;88;0
40;3;5;32;0
